Date,Dissolved Oxygen,Total Suspended Solids,Turbidity,Chlorophyll
1/1/2018,9.576060666,141.20251,41.26797697,25.808233
21-01-18,9.576701839,142.35162,41.60381693,26.465954
10/2/2018,9.578835326,130.46234,38.12904489,24.52223
20-02-18,9.576853836,121.34161,35.46341185,22.966661
2/3/2018,9.581523566,0.20654336,0.060364555,0.000497673
12/3/2018,9.57630065,125.31812,36.62559037,22.607445
22-03-18,9.574896691,139.1651,40.67252163,33.143364
1/4/2018,9.575393987,143.9229,42.06304068,26.633337
11/4/2018,9.581193402,157.25484,45.95944587,51.68936
21-04-18,9.575520703,151.1535,44.17626257,31.37691
1/5/2018,9.578221259,3.7124767,1.085011895,0.9627292
11/5/2018,9.575450585,147.67633,43.16002163,27.277966
21-05-18,9.576223805,151.90388,44.39556932,32.173615
31-05-18,9.576252266,143.9693,42.07660159,30.641285
10/6/2018,9.583385463,0.5871828,0.171610592,0.123487584
20-06-18,9.579582949,145.5756,42.54606032,42.193604
30-06-18,9.579683352,1.3557119,0.396221621,1.1830794
10/7/2018,9.576758963,45.729885,13.36505874,31.80564
20-07-18,9.58066154,17.133703,5.007511983,14.088129
30-07-18,9.574920196,14.329037,4.187817688,20.750685
9/8/2018,9.574043063,150.4127,43.95975567,28.23466
19-08-18,9.575511781,8.2911005,2.423164747,5.9274054
29-08-18,9.575255152,32.634617,9.537823533,26.553226
8/9/2018,9.575331602,12.664209,3.701253507,22.600693
18-09-18,9.575035287,116.768616,34.12690437,24.733292
29-09-18,9.575593303,48.575024,14.19658172,27.359007
18-10-18,9.576017331,142.49567,41.64591711,29.523392
28-10-18,9.575586477,141.04756,41.22269114,33.66759
7/11/2018,9.576086199,130.26617,38.07171206,30.749294
17-11-18,9.575995146,124.65497,36.43177753,31.711924
27-11-18,9.577379755,113.43111,33.15148176,23.219088
7/12/2018,9.57591198,133.61143,39.04940087,26.531395
6/1/2019,9.577459006,140.7321,41.13049451,24.52223
16-01-19,,,0,
26-01-19,9.577124659,145.98026,42.66432663,31.735344
5/2/2019,9.582374139,133.09486,38.89842764,36.823338
15-02-19,9.577236848,151.6038,44.30786766,32.33064
25-02-19,9.579985373,134.22449,39.22857435,29.40185
7/3/2019,9.586127473,154.48984,45.1513444,42.403854
17-03-19,9.577288223,137.50948,40.18864859,31.649502
27-03-19,9.577339039,89.0514,26.02624503,32.464314
6/4/2019,9.577486833,37.05419,10.82949205,29.008183
16-04-19,9.57971244,0.09719617,0.028406643,0.000720848
26-04-19,9.577612634,,0,
16-05-19,9.593047333,,0,
25-05-19,9.577088285,,0,
26-05-19,9.577374068,152.48488,44.56537292,40.567955
5/6/2019,9.578481713,157.59883,46.05998071,46.788197
15-06-19,,,0,
25-06-19,,,0,
5/7/2019,9.578288027,118.62568,34.66965162,30.996695
15-07-19,9.577786358,137.90364,40.30384615,34.186413
25-07-19,,,0,
4/8/2019,9.577423981,144.93733,42.35951894,39.418808
14-08-19,9.581472471,153.54887,44.87633563,37.659164
24-08-19,,,0,
13-09-19,9.577233813,141.27144,41.28812252,33.970604
23-09-19,9.577557386,37.186665,10.86820932,31.4158
3/10/2019,9.596419078,1.0322812,0.301695464,0.20105693
13-10-19,9.577236547,139.56621,40.78975041,32.653347
23-10-19,9.581141727,156.45079,45.72445347,40.40101
12/11/2019,9.593117778,0.024638819,0.007200964,0.00036277
22-11-19,,,0,
2/12/2019,9.577001515,149.73154,43.76067921,31.066404
12/12/2019,9.590887288,0.03905339,0.01141378,0.000365655
22-12-19,9.577116571,83.59681,24.43208148,28.571571
1/1/2020,9.577308057,30.499659,8.913858721,21.48755
11/1/2020,9.577206553,152.37555,44.53342004,40.2342
21-01-20,9.573334794,0.39241004,0.114686123,0.001726487
31-01-20,9.578261502,151.34706,44.23283259,30.225996
10/2/2020,9.576749175,109.830605,32.09919482,27.028124
20-02-20,9.576124326,120.81098,35.30832944,32.228542
1/3/2020,9.576695867,152.32433,44.51845043,31.143929
11/3/2020,9.577297357,30.468,8.904606032,26.349783
21-03-20,9.577453606,70.348656,20.56016367,26.154251
31-03-20,9.578001205,0.5577804,0.163017419,0.000993192
10/4/2020,9.57692109,150.66481,44.03343757,36.342075
20-04-20,9.577968818,18.372923,5.369687573,21.9906
30-04-20,9.576916484,152.46024,44.55817162,28.631636
13-05-20,9.576852468,141.88445,41.46728139,32.629696
20-05-20,9.576868517,141.76328,41.43186813,35.943672
30-05-20,9.575085388,0.012053911,0.003522887,0.000736833
9/6/2020,9.576854873,131.89221,38.54694003,26.190413
19-06-20,9.573700742,0.012657872,0.003699401,0.000817355
29-06-20,9.576972397,115.47484,33.74878419,37.39644
9/7/2020,9.576670368,43.736374,12.78243336,29.835732
19-07-20,9.576463485,12.381836,3.618726911,5.38623
29-07-20,9.577081396,112.87793,32.98980886,27.929111
8/8/2020,9.576079423,3.7927349,1.108468231,1.4519407
18-08-20,9.576068712,9.66011,2.823272738,2.7022753
28-08-20,9.576886085,157.44139,46.01396715,26.11089
7/9/2020,9.578361683,146.08362,42.69453472,43.786762
17-09-20,9.576767325,146.00288,42.67093757,33.230553
27-09-20,9.576847387,129.75809,37.92322013,31.821268
17-10-20,9.576794864,142.15506,41.54637012,28.511559
27-10-20,9.576760072,149.03029,43.55573124,31.860352
6/11/2020,9.576745831,150.52461,43.99246259,31.969873
16-11-20,9.576761094,152.38605,44.53648878,33.08
26-11-20,9.576660954,149.7088,43.7540332,28.369228
6/12/2020,9.576496402,132.34473,38.67919394,25.50001
16-12-20,9.576694313,116.49027,34.04555471,25.664667
26-12-20,9.576684968,118.85764,34.73744447,26.038685
